Zip Code,Location,City,Population,People / Sq. Mile,National Rank
63118,"38.592669, -90.226606","Saint Louis, Missouri","30,222",8994.84,#683
63116,"38.580389, -90.264469","Saint Louis, Missouri","47,017",8532.53,#740
63108,"38.644575, -90.253731","Saint Louis, Missouri","20,890",8416.97,#761
63109,"38.584353, -90.295618","Saint Louis, Missouri","29,264",8235.21,#787
64124,"39.107078, -94.539760","Kansas City, Missouri","13,343",8055.39,#821
63107,"38.663591, -90.211403","Saint Louis, Missouri","16,313",7148.07,#995
63111,"38.558992, -90.251686","Saint Louis, Missouri","21,583",6902.5,"#1,061"
63130,"38.664726, -90.324624","Saint Louis, Missouri","34,424",6864.38,"#1,071"
64111,"39.057797, -94.594181","Kansas City, Missouri","17,745",6671.87,"#1,121"
63113,"38.658007, -90.247331","Saint Louis, Missouri","16,101",6593.32,"#1,143"
63112,"38.658395, -90.283116","Saint Louis, Missouri","22,678",6592.63,"#1,144"
63139,"38.610571, -90.291924","Saint Louis, Missouri","24,364",6453.87,"#1,185"
63115,"38.678788, -90.238652","Saint Louis, Missouri","25,238",5982.85,"#1,318"
64109,"39.065794, -94.566343","Kansas City, Missouri","12,252",5885.93,"#1,354"
64110,"39.034587, -94.572984","Kansas City, Missouri","17,842",5810.31,"#1,383"
64112,"39.035983, -94.595196","Kansas City, Missouri","8,567",5805.15,"#1,387"
63104,"38.611501, -90.214852","Saint Louis, Missouri","19,088",5545.31,"#1,490"
64123,"39.114977, -94.521063","Kansas City, Missouri","10,757",5408.7,"#1,538"
65806,"37.205409, -93.298916","Springfield, Missouri","11,073",5329.84,"#1,567"
63143,"38.611813, -90.319885","Saint Louis, Missouri","10,978",5310.1,"#1,579"
63136,"38.743457, -90.259551","Saint Louis, Missouri","53,604",5166.23,"#1,644"
64127,"39.089151, -94.538288","Kansas City, Missouri","20,831",4889.65,"#1,770"
64128,"39.065694, -94.534852","Kansas City, Missouri","14,774",4877.68,"#1,779"
63105,"38.643746, -90.326201","Saint Louis, Missouri","14,490",4873.44,"#1,782"
63106,"38.644487, -90.208310","Saint Louis, Missouri","10,553",4739.99,"#1,847"
64113,"39.014065, -94.595652","Kansas City, Missouri","11,371",4558.32,"#1,975"
63121,"38.708223, -90.299238","Saint Louis, Missouri","29,172",4320.39,"#2,123"
63114,"38.703372, -90.363497","Saint Louis, Missouri","38,479",4264.33,"#2,158"
63120,"38.693966, -90.256254","Saint Louis, Missouri","13,268",4195.44,"#2,201"
63117,"38.630844, -90.331048","Saint Louis, Missouri","9,771",4171.75,"#2,218"
63074,"38.727571, -90.387748","Saint Ann, Missouri","15,399",4130.41,"#2,247"
63119,"38.588615, -90.350875","Saint Louis, Missouri","34,416",4115.1,"#2,258"
63123,"38.549159, -90.327346","Saint Louis, Missouri","49,680",4005.3,"#2,330"
63144,"38.619146, -90.348241","Saint Louis, Missouri","9,072",3858.43,"#2,430"
64106,"39.105268, -94.570205","Kansas City, Missouri","6,142",3826.39,"#2,458"
64063,"38.912693, -94.357683","Lees Summit, Missouri","20,186",3650.15,"#2,602"
64130,"39.033582, -94.541101","Kansas City, Missouri","25,743",3621.5,"#2,637"
63033,"38.794656, -90.277950","Florissant, Missouri","45,574",3594.66,"#2,665"
63135,"38.751033, -90.298527","Saint Louis, Missouri","21,532",3562.38,"#2,701"
63110,"38.623851, -90.264625","Saint Louis, Missouri","20,163",3517.18,"#2,735"
63101,"38.631243, -90.192679","Saint Louis, Missouri","1,327",3462.27,"#2,774"
63031,"38.811435, -90.347720","Florissant, Missouri","50,013",3435.1,"#2,795"
64114,"38.957802, -94.598599","Kansas City, Missouri","23,639",3383.58,"#2,835"
64501,"39.766018, -94.843689","Saint Joseph, Missouri","12,034",3333.97,"#2,876"
63125,"38.519319, -90.294342","Saint Louis, Missouri","33,150",3327.59,"#2,883"
64105,"39.104652, -94.589828","Kansas City, Missouri","2,719",3323.64,"#2,887"
63126,"38.549373, -90.378601","Saint Louis, Missouri","15,386",3269.41,"#2,952"
64052,"39.073511, -94.450862","Independence, Missouri","21,017",3259.56,"#2,966"
64118,"39.212625, -94.572341","Kansas City, Missouri","38,908",3009.15,"#3,188"
63303,"38.754625, -90.540148","Saint Charles, Missouri","41,659",2952.82,"#3,254"
63137,"38.750568, -90.215840","Saint Louis, Missouri","21,217",2916.34,"#3,301"
64131,"38.959809, -94.571951","Kansas City, Missouri","23,193",2890.49,"#3,326"
63011,"38.603592, -90.565702","Ballwin, Missouri","38,100",2879.72,"#3,337"
64126,"39.090986, -94.496649","Kansas City, Missouri","6,800",2771.09,"#3,470"
64055,"39.050847, -94.397998","Independence, Missouri","34,006",2745.22,"#3,495"
63132,"38.676450, -90.377332","Saint Louis, Missouri","13,731",2563.08,"#3,695"
63021,"38.569666, -90.545237","Ballwin, Missouri","54,560",2558.67,"#3,697"
63122,"38.581190, -90.417981","Saint Louis, Missouri","38,653",2537.06,"#3,727"
63129,"38.459471, -90.317037","Saint Louis, Missouri","51,191",2521.36,"#3,744"
63133,"38.683181, -90.307026","Saint Louis, Missouri","8,693",2478.54,"#3,797"
63147,"38.697139, -90.217467","Saint Louis, Missouri","13,190",2478.06,"#3,799"
65807,"37.165878, -93.322688","Springfield, Missouri","49,132",2410.62,"#3,880"
65664,"37.193827, -93.626369","Halltown, Missouri",39,2219.4,"#4,131"
64117,"39.164449, -94.522657","Kansas City, Missouri","13,445",2176.07,"#4,198"
63758,"37.191467, -89.549336","Kelso, Missouri",208,2105.25,"#4,296"
63103,"38.629877, -90.216700","Saint Louis, Missouri","4,603",2085.1,"#4,329"
64014,"39.006760, -94.255136","Blue Springs, Missouri","22,841",2006.1,"#4,435"
63017,"38.648053, -90.536205","Chesterfield, Missouri","42,716",1994.54,"#4,454"
65804,"37.150575, -93.251867","Springfield, Missouri","35,482",1975.2,"#4,477"
64133,"39.013941, -94.455876","Kansas City, Missouri","34,025",1970.25,"#4,486"
64506,"39.794467, -94.808836","Saint Joseph, Missouri","21,773",1920.72,"#4,570"
64050,"39.115913, -94.410525","Independence, Missouri","23,436",1919.82,"#4,573"
63043,"38.728070, -90.452027","Maryland Heights, Missouri","22,401",1919.63,"#4,574"
63850,"36.822157, -89.781340","Grayridge, Missouri",54,1913.78,"#4,583"
63128,"38.493363, -90.382077","Saint Louis, Missouri","29,122",1902.85,"#4,598"
63824,"37.004158, -89.525611","Blodgett, Missouri",120,1882.79,"#4,628"
64134,"38.930972, -94.487154","Kansas City, Missouri","23,471",1875.4,"#4,639"
64108,"39.084895, -94.586470","Kansas City, Missouri","6,785",1869.03,"#4,648"
64119,"39.209967, -94.514665","Kansas City, Missouri","25,702",1839.17,"#4,695"
64138,"38.967971, -94.471739","Kansas City, Missouri","24,940",1818.43,"#4,733"
63040,"38.571484, -90.626381","Grover, Missouri","8,300",1805.75,"#4,755"
63088,"38.552601, -90.494021","Valley Park, Missouri","8,366",1797.44,"#4,767"
64054,"39.112373, -94.439192","Independence, Missouri","4,153",1778.34,"#4,795"
63134,"38.740962, -90.347520","Saint Louis, Missouri","14,982",1763.93,"#4,812"
63146,"38.702855, -90.475486","Saint Louis, Missouri","29,760",1734.64,"#4,862"
64053,"39.111271, -94.465172","Independence, Missouri","5,762",1732.2,"#4,868"
64030,"38.881359, -94.522744","Grandview, Missouri","24,874",1731.71,"#4,869"
63376,"38.796281, -90.616293","Saint Peters, Missouri","68,970",1728.73,"#4,876"
63367,"38.788068, -90.789735","Lake Saint Louis, Missouri","8,197",1696.18,"#4,919"
64151,"39.214341, -94.630214","Kansas City, Missouri","22,563",1635.9,"#5,014"
64137,"38.931621, -94.542913","Kansas City, Missouri","10,061",1626.13,"#5,030"
63026,"38.503260, -90.460979","Fenton, Missouri","41,383",1616.6,"#5,054"
63010,"38.437982, -90.402156","Arnold, Missouri","36,885",1608.78,"#5,067"
64132,"38.985578, -94.544550","Kansas City, Missouri","15,956",1572.33,"#5,120"
64116,"39.149635, -94.574806","Kansas City, Missouri","15,846",1490.57,"#5,273"
63140,"38.739799, -90.321543","Saint Louis, Missouri",789,1473.5,"#5,295"
64015,"39.023354, -94.297161","Blue Springs, Missouri","28,878",1468.49,"#5,302"
